T1,T2,T3,T4
1522326930877,1522326931015,1522326931015,1522326931156
1522326931156,1522326931294,1522326931294,1522326931435
1522326931435,1522326931573,1522326931573,1522326931714
1522326931714,1522326931852,1522326931852,1522326931993
1522326931994,1522326932132,1522326932132,1522326932273
1522326932273,1522326932411,1522326932411,1522326932552
1522326932552,1522326932691,1522326932691,1522326932832
1522326932832,1522326932972,1522326932972,1522326933113
1522326933113,1522326933251,1522326933252,1522326933393
1522326933393,1522326933532,1522326933532,1522326933674
1522326933674,1522326933811,1522326933812,1522326933953
1522326933953,1522326934091,1522326934091,1522326934232
1522326934232,1522326934371,1522326934371,1522326934512
1522326934512,1522326934650,1522326934650,1522326934791
1522326934791,1522326934929,1522326934929,1522326935070
1522326935070,1522326935208,1522326935208,1522326935349
1522326935349,1522326935488,1522326935488,1522326935629
1522326935629,1522326935767,1522326935767,1522326935908
1522326935908,1522326936046,1522326936046,1522326936187
1522326936187,1522326936325,1522326936325,1522326936465
1522326936466,1522326936603,1522326936603,1522326936745
1522326936745,1522326936883,1522326936883,1522326937024
1522326937024,1522326937162,1522326937162,1522326937304
1522326937304,1522326937442,1522326937442,1522326937583
1522326937583,1522326937721,1522326937721,1522326937863
1522326937863,1522326938001,1522326938001,1522326938142
1522326938142,1522326938279,1522326938280,1522326938421
1522326938421,1522326938559,1522326938559,1522326938700
1522326938700,1522326938838,1522326938838,1522326938979
1522326938979,1522326939117,1522326939117,1522326939258
1522326939258,1522326939396,1522326939396,1522326939537
1522326939537,1522326939675,1522326939676,1522326939816
1522326939816,1522326939954,1522326939954,1522326940096
1522326940096,1522326940235,1522326940235,1522326940376
1522326940376,1522326940514,1522326940514,1522326940655
1522326940655,1522326940793,1522326940793,1522326940935
1522326940935,1522326941073,1522326941074,1522326941215
1522326941215,1522326941353,1522326941353,1522326941494
1522326941494,1522326941632,1522326941632,1522326941773
1522326941774,1522326941911,1522326941912,1522326942053
1522326942053,1522326942191,1522326942191,1522326942332
