T1,T2,T3,T4
1522327211391,1522327211529,1522327211529,1522327211670
1522327211670,1522327211808,1522327211808,1522327211950
1522327211950,1522327212088,1522327212088,1522327212229
1522327212229,1522327212367,1522327212367,1522327212509
1522327212509,1522327212647,1522327212647,1522327212788
1522327212788,1522327212926,1522327212926,1522327213067
1522327213067,1522327213206,1522327213206,1522327213347
1522327213347,1522327213485,1522327213485,1522327213626
1522327213626,1522327213764,1522327213764,1522327213905
1522327213905,1522327214044,1522327214044,1522327214185
1522327214185,1522327214323,1522327214323,1522327214464
1522327214464,1522327214602,1522327214602,1522327214743
1522327214743,1522327214881,1522327214881,1522327215022
1522327215022,1522327215160,1522327215160,1522327215301
1522327215301,1522327215439,1522327215439,1522327215580
1522327215580,1522327215718,1522327215718,1522327215860
1522327215860,1522327215998,1522327215998,1522327216139
1522327216139,1522327216277,1522327216277,1522327216419
1522327216419,1522327216558,1522327216558,1522327216699
1522327216699,1522327216837,1522327216837,1522327216979
1522327216979,1522327217117,1522327217117,1522327217258
1522327217258,1522327217396,1522327217396,1522327217537
1522327217537,1522327217675,1522327217675,1522327217817
1522327217817,1522327217955,1522327217955,1522327218096
1522327218096,1522327218235,1522327218235,1522327218376
1522327218376,1522327218540,1522327218540,1522327218682
1522327218683,1522327218821,1522327218821,1522327218962
1522327218962,1522327219100,1522327219101,1522327219242
1522327219242,1522327219380,1522327219380,1522327219521
1522327219521,1522327219659,1522327219659,1522327219800
1522327219800,1522327219938,1522327219938,1522327220079
1522327220079,1522327220217,1522327220218,1522327220359
1522327220359,1522327220497,1522327220497,1522327220638
1522327220638,1522327220776,1522327220776,1522327220917
1522327220917,1522327221055,1522327221055,1522327221196
1522327221196,1522327221334,1522327221334,1522327221476
1522327221476,1522327221615,1522327221615,1522327221756
1522327221757,1522327221895,1522327221895,1522327222036
1522327222036,1522327222174,1522327222174,1522327222315
1522327222315,1522327222453,1522327222453,1522327222596
1522327222596,1522327222734,1522327222734,1522327222877
1522327222877,1522327223015,1522327223015,1522327223157
1522327223157,1522327223313,1522327223314,1522327223456
1522327223456,1522327223594,1522327223594,1522327223735
1522327223735,1522327223873,1522327223873,1522327224014
1522327224014,1522327224152,1522327224152,1522327224293
1522327224293,1522327224431,1522327224431,1522327224572
1522327224572,1522327224711,1522327224711,1522327224852
1522327224852,1522327224991,1522327224992,1522327225134
1522327225134,1522327225272,1522327225272,1522327225414
1522327225414,1522327225552,1522327225552,1522327225694
1522327225694,1522327225832,1522327225832,1522327225973
1522327225973,1522327226111,1522327226111,1522327226252
1522327226253,1522327226390,1522327226391,1522327226532
1522327226532,1522327226670,1522327226670,1522327226811
1522327226811,1522327226949,1522327226949,1522327227090
1522327227091,1522327227229,1522327227229,1522327227370
1522327227370,1522327227508,1522327227508,1522327227649
1522327227649,1522327227787,1522327227787,1522327227928
1522327227928,1522327228066,1522327228066,1522327228207
1522327228207,1522327228345,1522327228345,1522327228488
1522327228488,1522327228626,1522327228626,1522327228767
1522327228767,1522327228905,1522327228905,1522327229046
1522327229046,1522327229184,1522327229184,1522327229325
1522327229325,1522327229463,1522327229463,1522327229604
1522327229604,1522327229743,1522327229743,1522327229883
1522327229883,1522327230021,1522327230022,1522327230163
1522327230163,1522327230301,1522327230301,1522327230442
1522327230442,1522327230579,1522327230580,1522327230720
1522327230720,1522327230859,1522327230859,1522327231000
1522327231000,1522327231138,1522327231138,1522327231280
1522327231280,1522327231418,1522327231418,1522327231559
1522327231559,1522327231697,1522327231697,1522327231838
1522327231838,1522327231976,1522327231976,1522327232117
1522327232117,1522327232255,1522327232256,1522327232398
1522327232398,1522327232536,1522327232537,1522327232678
1522327232678,1522327232816,1522327232816,1522327232958
1522327232958,1522327233096,1522327233096,1522327233237
1522327233237,1522327233375,1522327233375,1522327233516
1522327233516,1522327233655,1522327233655,1522327233796
1522327233796,1522327233948,1522327233948,1522327234091
1522327234091,1522327234230,1522327234230,1522327234372
1522327234372,1522327234510,1522327234510,1522327234651
1522327234651,1522327234789,1522327234790,1522327234931
1522327234931,1522327235069,1522327235069,1522327235210
1522327235210,1522327235348,1522327235348,1522327235490
1522327235490,1522327235628,1522327235628,1522327235769
1522327235769,1522327235907,1522327235907,1522327236049
1522327236049,1522327236187,1522327236187,1522327236328
1522327236328,1522327236466,1522327236466,1522327236607
1522327236607,1522327236745,1522327236745,1522327236887
1522327236887,1522327237024,1522327237024,1522327237165
1522327237165,1522327237304,1522327237304,1522327237445
1522327237445,1522327237584,1522327237584,1522327237725
1522327237725,1522327237863,1522327237864,1522327238005
1522327238005,1522327238143,1522327238143,1522327238296
1522327238296,1522327238434,1522327238434,1522327238576
1522327238576,1522327238714,1522327238714,1522327238855
1522327238855,1522327238994,1522327238994,1522327239135
1522327239135,1522327239274,1522327239274,1522327239415
1522327239415,1522327239554,1522327239554,1522327239695
1522327239695,1522327239833,1522327239833,1522327239974
1522327239974,1522327240112,1522327240112,1522327240253
1522327240253,1522327240391,1522327240391,1522327240532
1522327240532,1522327240670,1522327240670,1522327240811
1522327240811,1522327240949,1522327240949,1522327241091
1522327241091,1522327241229,1522327241229,1522327241370
1522327241370,1522327241508,1522327241508,1522327241649
1522327241649,1522327241787,1522327241787,1522327241928
1522327241928,1522327242066,1522327242066,1522327242208
1522327242208,1522327242346,1522327242346,1522327242487
1522327242487,1522327242625,1522327242625,1522327242767
1522327242767,1522327242905,1522327242905,1522327243046
1522327243046,1522327243184,1522327243185,1522327243326
1522327243326,1522327243464,1522327243464,1522327243605
1522327243605,1522327243743,1522327243743,1522327243884
1522327243884,1522327244022,1522327244022,1522327244163
1522327244163,1522327244301,1522327244301,1522327244442
1522327244442,1522327244580,1522327244581,1522327244722
1522327244722,1522327244860,1522327244860,1522327245001
1522327245001,1522327245139,1522327245139,1522327245281
1522327245281,1522327245461,1522327245461,1522327245602
1522327245602,1522327245740,1522327245740,1522327245882
1522327245882,1522327246020,1522327246020,1522327246161
1522327246161,1522327246300,1522327246300,1522327246441
1522327246441,1522327246579,1522327246579,1522327246720
1522327246720,1522327246858,1522327246858,1522327246999
1522327246999,1522327247137,1522327247137,1522327247279
1522327247279,1522327247417,1522327247418,1522327247558
1522327247559,1522327247697,1522327247697,1522327247838
1522327247838,1522327247976,1522327247976,1522327248117
1522327248117,1522327248255,1522327248256,1522327248397
1522327248397,1522327248535,1522327248535,1522327248676
1522327248676,1522327248814,1522327248815,1522327248956
1522327248956,1522327249094,1522327249094,1522327249235
1522327249235,1522327249373,1522327249373,1522327249516
1522327249516,1522327249654,1522327249654,1522327249795
1522327249795,1522327249933,1522327249933,1522327250074
1522327250074,1522327250212,1522327250213,1522327250353
1522327250353,1522327250492,1522327250492,1522327250633
1522327250633,1522327250771,1522327250771,1522327250912
1522327250912,1522327251051,1522327251051,1522327251192
1522327251192,1522327251330,1522327251330,1522327251471
1522327251471,1522327251610,1522327251610,1522327251751
1522327251751,1522327251889,1522327251889,1522327252030
1522327252030,1522327252168,1522327252168,1522327252309
1522327252309,1522327252447,1522327252447,1522327252589
1522327252589,1522327252727,1522327252727,1522327252868
1522327252868,1522327253006,1522327253006,1522327253147
1522327253148,1522327253285,1522327253286,1522327253426
1522327253427,1522327253564,1522327253565,1522327253705
1522327253705,1522327253843,1522327253843,1522327253984
1522327253984,1522327254122,1522327254122,1522327254263
1522327254263,1522327254401,1522327254401,1522327254542
1522327254542,1522327254680,1522327254680,1522327254821
1522327254821,1522327254959,1522327254959,1522327255100
1522327255100,1522327255238,1522327255238,1522327255379
1522327255379,1522327255517,1522327255517,1522327255658
1522327255658,1522327255796,1522327255796,1522327255937
1522327255937,1522327256075,1522327256075,1522327256216
1522327256217,1522327256354,1522327256354,1522327256495
1522327256495,1522327256633,1522327256634,1522327256775
1522327256775,1522327256913,1522327256913,1522327257054
1522327257054,1522327257193,1522327257193,1522327257334
1522327257334,1522327257472,1522327257472,1522327257613
1522327257613,1522327257751,1522327257751,1522327257892
1522327257892,1522327258030,1522327258030,1522327258171
1522327258171,1522327258309,1522327258309,1522327258450
1522327258450,1522327258588,1522327258588,1522327258729
1522327258729,1522327258868,1522327258868,1522327259010
1522327259010,1522327259148,1522327259148,1522327259289
1522327259289,1522327259427,1522327259427,1522327259568
1522327259568,1522327259706,1522327259706,1522327259847
1522327259847,1522327259985,1522327259986,1522327260126
1522327260126,1522327260264,1522327260264,1522327260405
1522327260405,1522327260543,1522327260543,1522327260684
1522327260684,1522327260822,1522327260822,1522327260963
1522327260963,1522327261101,1522327261101,1522327261242
1522327261242,1522327261380,1522327261380,1522327261521
1522327261521,1522327261659,1522327261659,1522327261800
1522327261800,1522327261938,1522327261938,1522327262079
1522327262079,1522327262217,1522327262218,1522327262358
1522327262358,1522327262496,1522327262496,1522327262637
1522327262637,1522327262775,1522327262775,1522327262916
1522327262916,1522327263054,1522327263054,1522327263195
1522327263196,1522327263334,1522327263334,1522327263475
1522327263475,1522327263613,1522327263613,1522327263754
1522327263754,1522327263891,1522327263892,1522327264033
1522327264033,1522327264171,1522327264171,1522327264312
1522327264312,1522327264450,1522327264450,1522327264591
1522327264591,1522327264729,1522327264730,1522327264871
1522327264871,1522327265008,1522327265009,1522327265150
1522327265150,1522327265288,1522327265288,1522327265429
1522327265429,1522327265567,1522327265567,1522327265708
1522327265708,1522327265846,1522327265847,1522327265988
1522327265988,1522327266126,1522327266126,1522327266267
1522327266267,1522327266406,1522327266406,1522327266547
1522327266547,1522327266686,1522327266686,1522327266827
1522327266827,1522327266966,1522327266967,1522327267108
1522327267108,1522327267246,1522327267246,1522327267387
1522327267387,1522327267525,1522327267525,1522327267666
1522327267666,1522327267805,1522327267805,1522327267946
1522327267946,1522327268084,1522327268084,1522327268225
1522327268225,1522327268363,1522327268363,1522327268505
1522327268505,1522327268643,1522327268643,1522327268784
1522327268784,1522327268922,1522327268922,1522327269063
1522327269063,1522327269201,1522327269201,1522327269342
1522327269343,1522327269480,1522327269481,1522327269622
1522327269623,1522327269761,1522327269761,1522327269902
1522327269902,1522327270040,1522327270040,1522327270181
1522327270182,1522327270320,1522327270320,1522327270461
