T1,T2,T3,T4
1522327771639,1522327771777,1522327771778,1522327771919
1522327771919,1522327772057,1522327772057,1522327772199
1522327772199,1522327772337,1522327772337,1522327772478
1522327772478,1522327772616,1522327772616,1522327772758
1522327772758,1522327772896,1522327772896,1522327773037
1522327773037,1522327773176,1522327773176,1522327773317
1522327773317,1522327773456,1522327773456,1522327773597
1522327773597,1522327773735,1522327773735,1522327773880
1522327773880,1522327774018,1522327774018,1522327774159
1522327774159,1522327774298,1522327774298,1522327774440
1522327774440,1522327774578,1522327774579,1522327774720
1522327774720,1522327774858,1522327774858,1522327774999
1522327774999,1522327775138,1522327775138,1522327775279
1522327775279,1522327775417,1522327775417,1522327775559
1522327775559,1522327775697,1522327775697,1522327775838
1522327775838,1522327775977,1522327775977,1522327776118
1522327776118,1522327776256,1522327776256,1522327776397
1522327776397,1522327776535,1522327776535,1522327776676
1522327776676,1522327776815,1522327776815,1522327776956
1522327776956,1522327777094,1522327777094,1522327777235
1522327777236,1522327777374,1522327777374,1522327777515
1522327777515,1522327777653,1522327777653,1522327777794
1522327777794,1522327777932,1522327777932,1522327778074
1522327778074,1522327778212,1522327778212,1522327778353
1522327778353,1522327778492,1522327778492,1522327778633
1522327778633,1522327778771,1522327778772,1522327778913
1522327778913,1522327779051,1522327779051,1522327779192
1522327779192,1522327779331,1522327779331,1522327779472
1522327779472,1522327779611,1522327779611,1522327779752
1522327779752,1522327779890,1522327779890,1522327780031
1522327780032,1522327780170,1522327780170,1522327780312
1522327780312,1522327780450,1522327780450,1522327780591
1522327780592,1522327780730,1522327780730,1522327780871
1522327780871,1522327781010,1522327781010,1522327781151
1522327781151,1522327781289,1522327781289,1522327781431
1522327781431,1522327781569,1522327781569,1522327781713
1522327781713,1522327781852,1522327781852,1522327781993
1522327781993,1522327782131,1522327782131,1522327782273
1522327782273,1522327782411,1522327782411,1522327782552
1522327782552,1522327782690,1522327782690,1522327782831
1522327782831,1522327782969,1522327782969,1522327783111
1522327783111,1522327783250,1522327783250,1522327783391
1522327783391,1522327783529,1522327783530,1522327783671
1522327783671,1522327783809,1522327783809,1522327783951
1522327783951,1522327784089,1522327784089,1522327784231
1522327784231,1522327784369,1522327784369,1522327784511
1522327784511,1522327784649,1522327784650,1522327784791
1522327784791,1522327784929,1522327784930,1522327785071
1522327785071,1522327785210,1522327785210,1522327785351
1522327785351,1522327785489,1522327785489,1522327785630
1522327785630,1522327785769,1522327785769,1522327785910
1522327785910,1522327786048,1522327786048,1522327786189
1522327786189,1522327786327,1522327786327,1522327786468
1522327786468,1522327786607,1522327786607,1522327786748
1522327786748,1522327786886,1522327786887,1522327787028
1522327787028,1522327787166,1522327787166,1522327787307
1522327787308,1522327787445,1522327787445,1522327787586
1522327787587,1522327787724,1522327787725,1522327787866
1522327787866,1522327788004,1522327788005,1522327788146
1522327788146,1522327788284,1522327788284,1522327788426
1522327788426,1522327788564,1522327788564,1522327788706
1522327788706,1522327788844,1522327788844,1522327788985
1522327788985,1522327789124,1522327789124,1522327789265
1522327789265,1522327789404,1522327789404,1522327789545
1522327789545,1522327789683,1522327789683,1522327789824
1522327789824,1522327789963,1522327789963,1522327790107
1522327790107,1522327790245,1522327790245,1522327790392
1522327790392,1522327790530,1522327790530,1522327790673
1522327790673,1522327790811,1522327790811,1522327790952
1522327790952,1522327791091,1522327791091,1522327791232
1522327791232,1522327791371,1522327791371,1522327791512
1522327791512,1522327791651,1522327791651,1522327791792
1522327791792,1522327791930,1522327791930,1522327792071
1522327792072,1522327792210,1522327792210,1522327792352
1522327792352,1522327792490,1522327792490,1522327792631
1522327792632,1522327792770,1522327792770,1522327792911
1522327792911,1522327793049,1522327793050,1522327793191
1522327793191,1522327793330,1522327793330,1522327793472
1522327793472,1522327793610,1522327793610,1522327793751
1522327793751,1522327793890,1522327793890,1522327794032
1522327794032,1522327794170,1522327794170,1522327794312
1522327794312,1522327794451,1522327794451,1522327794592
1522327794592,1522327794730,1522327794731,1522327794872
1522327794872,1522327795010,1522327795011,1522327795152
1522327795152,1522327795290,1522327795290,1522327795431
1522327795431,1522327795569,1522327795570,1522327795711
1522327795711,1522327795849,1522327795849,1522327795990
1522327795991,1522327796129,1522327796129,1522327796270
1522327796271,1522327796409,1522327796409,1522327796550
1522327796550,1522327796688,1522327796688,1522327796829
1522327796829,1522327796967,1522327796968,1522327797109
1522327797109,1522327797247,1522327797247,1522327797388
1522327797388,1522327797527,1522327797527,1522327797668
1522327797668,1522327797806,1522327797806,1522327797947
1522327797947,1522327798085,1522327798086,1522327798227
1522327798227,1522327798365,1522327798365,1522327798507
1522327798507,1522327798645,1522327798645,1522327798786
1522327798787,1522327798925,1522327798925,1522327799067
1522327799067,1522327799205,1522327799205,1522327799347
1522327799347,1522327799485,1522327799485,1522327799627
1522327799627,1522327799765,1522327799765,1522327799907
1522327799907,1522327800045,1522327800045,1522327800186
1522327800187,1522327800325,1522327800325,1522327800466
1522327800466,1522327800604,1522327800604,1522327800746
1522327800746,1522327800884,1522327800885,1522327801027
1522327801027,1522327801165,1522327801166,1522327801307
1522327801307,1522327801445,1522327801445,1522327801587
1522327801587,1522327801726,1522327801726,1522327801867
1522327801867,1522327802008,1522327802008,1522327802149
1522327802150,1522327802288,1522327802288,1522327802430
1522327802430,1522327802568,1522327802569,1522327802710
