T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326650330,1522326650468,1522326650468,1522326650619
1522326650619,1522326650758,1522326650758,1522326650904
1522326650905,1522326651043,1522326651043,1522326651188
1522326651188,1522326651326,1522326651327,1522326651470
1522326651470,1522326651608,1522326651609,1522326651755
1522326651755,1522326651893,1522326651893,1522326652038
1522326652038,1522326652176,1522326652176,1522326652324
1522326652324,1522326652462,1522326652463,1522326652606
1522326652606,1522326652744,1522326652744,1522326652897
1522326652897,1522326653035,1522326653035,1522326653181
1522326653181,1522326653319,1522326653319,1522326653465
1522326653465,1522326653603,1522326653603,1522326653753
1522326653753,1522326653891,1522326653891,1522326654041
1522326654041,1522326654179,1522326654180,1522326654322
1522326654323,1522326654466,1522326654467,1522326654607
1522326654608,1522326654745,1522326654746,1522326654893
1522326654893,1522326655031,1522326655031,1522326655172
1522326655172,1522326655311,1522326655311,1522326655459
1522326655459,1522326655597,1522326655598,1522326655745
1522326655745,1522326655883,1522326655883,1522326656031
1522326656031,1522326656169,1522326656169,1522326656313
1522326656313,1522326656451,1522326656451,1522326656599
1522326656599,1522326656737,1522326656737,1522326656878
1522326656878,1522326657045,1522326657045,1522326657192
1522326657192,1522326657330,1522326657331,1522326657472
1522326657472,1522326657610,1522326657610,1522326657751
1522326657751,1522326657889,1522326657889,1522326658030
1522326658030,1522326658168,1522326658168,1522326658312
1522326658312,1522326658450,1522326658450,1522326658591
1522326658592,1522326658729,1522326658730,1522326658870
1522326658871,1522326659008,1522326659008,1522326659149
1522326659149,1522326659288,1522326659288,1522326659429
1522326659429,1522326659567,1522326659567,1522326659709
1522326659709,1522326659847,1522326659848,1522326659989
1522326659989,1522326660127,1522326660127,1522326660268
1522326660268,1522326660407,1522326660407,1522326660549
1522326660549,1522326660687,1522326660687,1522326660829
1522326660829,1522326660968,1522326660968,1522326661109
1522326661109,1522326661247,1522326661247,1522326661388
1522326661388,1522326661526,1522326661526,1522326661667
1522326661667,1522326661805,1522326661806,1522326661947
1522326661947,1522326662085,1522326662085,1522326662227
1522326662227,1522326662365,1522326662365,1522326662506
1522326662506,1522326662644,1522326662644,1522326662785
1522326662785,1522326662923,1522326662924,1522326663065
1522326663065,1522326663203,1522326663203,1522326663344
1522326663344,1522326663482,1522326663482,1522326663624
1522326663624,1522326663762,1522326663762,1522326663903
1522326663903,1522326664041,1522326664042,1522326664182
1522326664182,1522326664320,1522326664321,1522326664463
1522326664463,1522326664601,1522326664601,1522326664742
1522326664742,1522326664880,1522326664880,1522326665028
1522326665028,1522326665166,1522326665166,1522326665307
1522326665307,1522326665445,1522326665445,1522326665586
1522326665586,1522326665724,1522326665724,1522326665866
1522326665866,1522326666004,1522326666004,1522326666145
1522326666145,1522326666289,1522326666289,1522326666430
1522326666430,1522326666568,1522326666568,1522326666709
1522326666709,1522326666847,1522326666847,1522326666988
1522326666988,1522326667126,1522326667126,1522326667267
1522326667268,1522326667406,1522326667407,1522326667548
1522326667549,1522326667686,1522326667687,1522326667831
1522326667831,1522326667969,1522326667969,1522326668111
1522326668111,1522326668249,1522326668249,1522326668391
1522326668391,1522326668529,1522326668529,1522326668673
1522326668673,1522326668812,1522326668812,1522326668953
1522326668953,1522326669091,1522326669091,1522326669232
1522326669232,1522326669370,1522326669370,1522326669511
1522326669511,1522326669649,1522326669649,1522326669791
1522326669791,1522326669929,1522326669930,1522326670070
1522326670070,1522326670209,1522326670209,1522326670350
1522326670350,1522326670488,1522326670488,1522326670629
1522326670629,1522326670767,1522326670768,1522326670909
1522326670909,1522326671047,1522326671047,1522326671189
1522326671189,1522326671327,1522326671327,1522326671469
1522326671469,1522326671608,1522326671608,1522326671749
1522326671749,1522326671888,1522326671888,1522326672029
1522326672029,1522326672167,1522326672167,1522326672309
1522326672309,1522326672447,1522326672447,1522326672589
1522326672589,1522326672727,1522326672727,1522326672869
1522326672869,1522326673007,1522326673008,1522326673149
1522326673149,1522326673287,1522326673287,1522326673428
1522326673428,1522326673567,1522326673567,1522326673710
1522326673710,1522326673850,1522326673850,1522326673991
1522326673991,1522326674129,1522326674129,1522326674271
1522326674271,1522326674409,1522326674409,1522326674550
1522326674550,1522326674688,1522326674688,1522326674829
1522326674829,1522326674967,1522326674967,1522326675109
1522326675109,1522326675247,1522326675247,1522326675388
1522326675388,1522326675526,1522326675526,1522326675667
1522326675668,1522326675808,1522326675808,1522326675949
1522326675949,1522326676087,1522326676087,1522326676228
1522326676228,1522326676366,1522326676366,1522326676507
1522326676507,1522326676645,1522326676645,1522326676790
1522326676790,1522326676928,1522326676928,1522326677069
1522326677069,1522326677207,1522326677207,1522326677348
1522326677348,1522326677486,1522326677486,1522326677628
1522326677628,1522326677766,1522326677766,1522326677909
1522326677909,1522326678048,1522326678048,1522326678189
1522326678189,1522326678327,1522326678327,1522326678468
1522326678469,1522326678607,1522326678607,1522326678748
1522326678748,1522326678886,1522326678886,1522326679027
1522326679027,1522326679165,1522326679166,1522326679307
1522326679307,1522326679445,1522326679446,1522326679587
1522326679588,1522326679725,1522326679725,1522326679867
1522326679867,1522326680005,1522326680005,1522326680146
1522326680146,1522326680284,1522326680284,1522326680426
1522326680426,1522326680564,1522326680564,1522326680706
1522326680706,1522326680844,1522326680844,1522326680985
1522326680986,1522326681124,1522326681124,1522326681265
1522326681265,1522326681403,1522326681403,1522326681544
1522326681544,1522326681682,1522326681682,1522326681824
1522326681824,1522326681963,1522326681963,1522326682104
1522326682105,1522326682243,1522326682243,1522326682385
1522326682385,1522326682524,1522326682524,1522326682665
1522326682665,1522326682803,1522326682804,1522326682944
1522326682944,1522326683082,1522326683083,1522326683223
1522326683224,1522326683362,1522326683362,1522326683502
1522326683503,1522326683640,1522326683640,1522326683781
1522326683781,1522326683919,1522326683919,1522326684060
1522326684060,1522326684198,1522326684198,1522326684339
1522326684339,1522326684477,1522326684477,1522326684618
1522326684618,1522326684756,1522326684756,1522326684897
1522326684897,1522326685035,1522326685036,1522326685177
1522326685177,1522326685315,1522326685315,1522326685456
1522326685456,1522326685594,1522326685594,1522326685735
1522326685735,1522326685874,1522326685874,1522326686015
1522326686015,1522326686155,1522326686155,1522326686297
1522326686297,1522326686435,1522326686435,1522326686576
1522326686576,1522326686715,1522326686715,1522326686856
1522326686856,1522326686994,1522326686994,1522326687134
1522326687135,1522326687273,1522326687273,1522326687414
1522326687414,1522326687552,1522326687552,1522326687693
1522326687693,1522326687831,1522326687831,1522326687971
1522326687972,1522326688110,1522326688110,1522326688251
1522326688251,1522326688389,1522326688389,1522326688530
1522326688530,1522326688668,1522326688668,1522326688808
1522326688808,1522326688947,1522326688947,1522326689088
1522326689088,1522326689226,1522326689226,1522326689367
1522326689367,1522326689505,1522326689505,1522326689646
1522326689646,1522326689784,1522326689784,1522326689926
1522326689926,1522326690064,1522326690064,1522326690205
1522326690205,1522326690346,1522326690346,1522326690487
