T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326406816,1522326406954,1522326406954,1522326407096
1522326407096,1522326407235,1522326407235,1522326407376
1522326407376,1522326407514,1522326407514,1522326407655
1522326407655,1522326407793,1522326407794,1522326407934
1522326407935,1522326408072,1522326408073,1522326408214
1522326408214,1522326408352,1522326408352,1522326408493
1522326408493,1522326408632,1522326408632,1522326408789
1522326408789,1522326408927,1522326408927,1522326409068
1522326409068,1522326409206,1522326409206,1522326409347
1522326409347,1522326409486,1522326409486,1522326409628
1522326409628,1522326409766,1522326409766,1522326409907
1522326409907,1522326410059,1522326410059,1522326410200
1522326410200,1522326410338,1522326410338,1522326410479
1522326410479,1522326410617,1522326410617,1522326410758
1522326410758,1522326410896,1522326410896,1522326411037
1522326411037,1522326411175,1522326411175,1522326411316
1522326411316,1522326411454,1522326411454,1522326411596
1522326411596,1522326411734,1522326411734,1522326411875
1522326411875,1522326412013,1522326412013,1522326412154
1522326412154,1522326412291,1522326412292,1522326412432
1522326412433,1522326412570,1522326412570,1522326412711
1522326412712,1522326412850,1522326412850,1522326412991
1522326412991,1522326413131,1522326413131,1522326413272
1522326413272,1522326413410,1522326413410,1522326413551
1522326413551,1522326413689,1522326413689,1522326413830
1522326413830,1522326413968,1522326413968,1522326414111
1522326414111,1522326414249,1522326414249,1522326414390
1522326414390,1522326414528,1522326414528,1522326414669
1522326414669,1522326414807,1522326414807,1522326414948
1522326414948,1522326415086,1522326415086,1522326415227
1522326415227,1522326415365,1522326415365,1522326415506
1522326415506,1522326415644,1522326415644,1522326415785
1522326415785,1522326415922,1522326415923,1522326416064
1522326416064,1522326416202,1522326416202,1522326416343
1522326416343,1522326416481,1522326416481,1522326416624
1522326416624,1522326416762,1522326416762,1522326416904
1522326416904,1522326417042,1522326417042,1522326417184
1522326417184,1522326417322,1522326417322,1522326417463
1522326417463,1522326417601,1522326417601,1522326417742
1522326417742,1522326417880,1522326417880,1522326418021
1522326418021,1522326418159,1522326418159,1522326418300
1522326418300,1522326418438,1522326418438,1522326418579
1522326418579,1522326418718,1522326418718,1522326418859
1522326418859,1522326418997,1522326418997,1522326419138
1522326419138,1522326419277,1522326419277,1522326419418
1522326419418,1522326419556,1522326419556,1522326419697
1522326419697,1522326419835,1522326419836,1522326419976
1522326419976,1522326420114,1522326420115,1522326420256
1522326420256,1522326420394,1522326420394,1522326420535
1522326420535,1522326420673,1522326420673,1522326420814
1522326420814,1522326420952,1522326420952,1522326421093
1522326421093,1522326421232,1522326421232,1522326421373
1522326421373,1522326421512,1522326421512,1522326421653
1522326421653,1522326421791,1522326421791,1522326421932
1522326421932,1522326422070,1522326422070,1522326422211
