T1, T2, T3, T4
1522325796676,1522325796809,1522325796809,1522325796910
1522325796910,1522325797042,1522325797042,1522325797141
1522325797141,1522325797275,1522325797275,1522325797374
1522325797374,1522325797505,1522325797505,1522325797604
1522325797604,1522325797733,1522325797733,1522325797832
1522325797832,1522325797965,1522325797965,1522325798064
1522325798064,1522325798197,1522325798197,1522325798296
1522325798296,1522325798429,1522325798429,1522325798528
1522325798528,1522325798664,1522325798664,1522325798763
1522325798763,1522325798897,1522325798897,1522325798996
1522325798996,1522325799127,1522325799127,1522325799226
1522325799226,1522325799360,1522325799360,1522325799459
1522325799459,1522325799592,1522325799592,1522325799691
1522325799691,1522325799825,1522325799825,1522325799940
1522325799940,1522325800074,1522325800074,1522325800172
1522325800172,1522325800305,1522325800305,1522325800412
1522325800412,1522325800546,1522325800546,1522325800645
1522325800645,1522325800778,1522325800778,1522325801014
1522325801014,1522325801145,1522325801145,1522325801295
1522325801295,1522325801424,1522325801424,1522325801615
1522325801615,1522325801760,1522325801760,1522325801910
1522325801910,1522325802044,1522325802044,1522325802143
1522325802143,1522325802276,1522325802276,1522325802375
1522325802375,1522325802510,1522325802510,1522325802610
1522325802610,1522325802745,1522325802745,1522325802844
1522325802844,1522325802976,1522325802976,1522325803139
1522325803139,1522325803273,1522325803274,1522325803372
1522325803372,1522325803503,1522325803503,1522325803766
1522325803766,1522325803902,1522325803902,1522325804064
1522325804064,1522325804198,1522325804198,1522325804368
1522325804368,1522325804500,1522325804500,1522325804675
1522325804675,1522325804807,1522325804807,1522325805085
1522325805085,1522325805218,1522325805218,1522325805392
1522325805392,1522325805526,1522325805526,1522325805699
1522325805699,1522325805834,1522325805834,1522325806007
1522325806007,1522325806140,1522325806140,1522325806321
1522325806321,1522325806454,1522325806454,1522325806620
1522325806620,1522325806753,1522325806753,1522325806931
1522325806931,1522325807070,1522325807070,1522325807235
1522325807235,1522325807366,1522325807366,1522325807542
1522325807542,1522325807684,1522325807684,1522325807849
1522325807849,1522325807982,1522325807982,1522325808080
1522325808081,1522325808211,1522325808211,1522325808315
1522325808315,1522325808451,1522325808451,1522325808549
1522325808550,1522325808685,1522325808686,1522325808873
1522325808873,1522325809008,1522325809008,1522325809109
