T1, T2, T3, T4
1522325512891,1522325513016,1522325513016,1522325513121
1522325513121,1522325513249,1522325513249,1522325513353
1522325513353,1522325513481,1522325513481,1522325513585
1522325513585,1522325513712,1522325513712,1522325513815
1522325513815,1522325513944,1522325513944,1522325514049
1522325514049,1522325514173,1522325514173,1522325514276
1522325514276,1522325514404,1522325514404,1522325514508
1522325514508,1522325514636,1522325514636,1522325514739
1522325514739,1522325514864,1522325514864,1522325514968
1522325514968,1522325515101,1522325515101,1522325515205
1522325515205,1522325515332,1522325515332,1522325515436
1522325515436,1522325515564,1522325515564,1522325515668
1522325515668,1522325515796,1522325515796,1522325515900
1522325515900,1522325516026,1522325516026,1522325516130
1522325516130,1522325516257,1522325516257,1522325516361
1522325516361,1522325516488,1522325516488,1522325516592
1522325516592,1522325516720,1522325516720,1522325516931
1522325516931,1522325517060,1522325517060,1522325517179
1522325517179,1522325517307,1522325517308,1522325517443
1522325517443,1522325517570,1522325517570,1522325517750
1522325517750,1522325517878,1522325517878,1522325517983
1522325517983,1522325518116,1522325518116,1522325518263
1522325518263,1522325518392,1522325518392,1522325518496
1522325518496,1522325518620,1522325518620,1522325518774
1522325518774,1522325518902,1522325518902,1522325519082
1522325519082,1522325519210,1522325519210,1522325519389
1522325519389,1522325519516,1522325519516,1522325519697
1522325519697,1522325519824,1522325519824,1522325519935
1522325519935,1522325520062,1522325520062,1522325520209
1522325520209,1522325520350,1522325520350,1522325520505
1522325520505,1522325520638,1522325520638,1522325520741
1522325520742,1522325520866,1522325520866,1522325521027
1522325521027,1522325521154,1522325521154,1522325521334
1522325521334,1522325521463,1522325521463,1522325521566
1522325521566,1522325521692,1522325521692,1522325521848
1522325521848,1522325521978,1522325521978,1522325522156
1522325522156,1522325522284,1522325522284,1522325522461
1522325522461,1522325522589,1522325522589,1522325522768
1522325522768,1522325522899,1522325522899,1522325523075
1522325523075,1522325523204,1522325523204,1522325523382
1522325523382,1522325523511,1522325523511,1522325523689
1522325523689,1522325523817,1522325523817,1522325523997
1522325523997,1522325524124,1522325524124,1522325524304
1522325524304,1522325524431,1522325524431,1522325524611
1522325524611,1522325524740,1522325524740,1522325524919
1522325524919,1522325525047,1522325525047,1522325525226
1522325525226,1522325525354,1522325525354,1522325525533
1522325525533,1522325525664,1522325525664,1522325525840
1522325525840,1522325525969,1522325525969,1522325526147
1522325526147,1522325526283,1522325526283,1522325526455
1522325526455,1522325526583,1522325526583,1522325526762
1522325526762,1522325526896,1522325526896,1522325527068
1522325527068,1522325527197,1522325527197,1522325527376
1522325527376,1522325527505,1522325527505,1522325527683
1522325527683,1522325527811,1522325527811,1522325527990
1522325527990,1522325528119,1522325528119,1522325528222
1522325528222,1522325528348,1522325528348,1522325528458
1522325528458,1522325528586,1522325528586,1522325528707
1522325528707,1522325528835,1522325528835,1522325529015
1522325529015,1522325529143,1522325529143,1522325529322
1522325529322,1522325529450,1522325529450,1522325529629
1522325529629,1522325529756,1522325529756,1522325529859
