T1, T2, T3, T4
1522326068738,1522326068873,1522326068873,1522326068968
1522326068969,1522326069112,1522326069112,1522326069207
1522326069207,1522326069346,1522326069346,1522326069441
1522326069441,1522326069575,1522326069575,1522326069674
1522326069674,1522326069811,1522326069811,1522326069909
1522326069909,1522326070047,1522326070047,1522326070142
1522326070142,1522326070280,1522326070280,1522326070376
1522326070376,1522326070514,1522326070514,1522326070609
1522326070609,1522326070746,1522326070746,1522326070915
1522326070915,1522326071053,1522326071053,1522326071222
1522326071222,1522326071360,1522326071360,1522326071530
1522326071530,1522326071663,1522326071664,1522326071837
1522326071837,1522326071974,1522326071974,1522326072144
1522326072144,1522326072283,1522326072283,1522326072451
1522326072451,1522326072591,1522326072591,1522326072758
1522326072758,1522326072897,1522326072897,1522326072996
1522326072996,1522326073133,1522326073133,1522326073270
1522326073270,1522326073408,1522326073408,1522326073580
1522326073580,1522326073718,1522326073718,1522326073885
1522326073885,1522326074023,1522326074023,1522326074192
1522326074192,1522326074330,1522326074330,1522326074503
1522326074503,1522326074645,1522326074645,1522326074806
1522326074806,1522326074945,1522326074946,1522326075113
1522326075113,1522326075252,1522326075253,1522326075422
1522326075422,1522326075563,1522326075563,1522326075728
1522326075728,1522326075866,1522326075866,1522326076035
1522326076035,1522326076171,1522326076171,1522326076343
1522326076343,1522326076481,1522326076481,1522326076649
1522326076649,1522326076787,1522326076787,1522326076957
1522326076957,1522326077095,1522326077095,1522326077264
1522326077264,1522326077403,1522326077403,1522326077571
1522326077571,1522326077710,1522326077710,1522326077878
1522326077878,1522326078019,1522326078019,1522326078185
1522326078186,1522326078324,1522326078324,1522326078419
1522326078419,1522326078554,1522326078554,1522326078697
1522326078697,1522326078838,1522326078838,1522326079005
1522326079005,1522326079142,1522326079142,1522326079312
1522326079312,1522326079450,1522326079450,1522326079627
1522326079627,1522326079765,1522326079766,1522326080029
1522326080029,1522326080168,1522326080168,1522326080336
1522326080336,1522326080474,1522326080474,1522326080643
1522326080643,1522326080781,1522326080782,1522326080950
1522326080950,1522326081090,1522326081090,1522326081257
1522326081257,1522326081396,1522326081396,1522326081564
1522326081564,1522326081703,1522326081703,1522326081874
1522326081874,1522326082013,1522326082014,1522326082109
1522326082109,1522326082243,1522326082243,1522326082384
1522326082384,1522326082524,1522326082524,1522326082619
1522326082619,1522326082754,1522326082754,1522326082896
1522326082896,1522326083033,1522326083033,1522326083203
1522326083203,1522326083341,1522326083341,1522326083511
1522326083511,1522326083650,1522326083650,1522326083818
1522326083818,1522326083959,1522326083959,1522326084125
1522326084125,1522326084265,1522326084265,1522326084432
1522326084432,1522326084576,1522326084576,1522326084739
1522326084739,1522326084877,1522326084878,1522326085052
1522326085052,1522326085192,1522326085192,1522326085353
1522326085353,1522326085489,1522326085489,1522326085661
1522326085661,1522326085800,1522326085800,1522326085970
1522326085970,1522326086110,1522326086110,1522326086275
1522326086275,1522326086413,1522326086413,1522326086582
1522326086582,1522326086724,1522326086724,1522326086890
1522326086890,1522326087026,1522326087026,1522326087123
1522326087123,1522326087272,1522326087272,1522326087401
1522326087402,1522326087540,1522326087540,1522326087716
1522326087716,1522326087853,1522326087853,1522326088016
1522326088016,1522326088156,1522326088156,1522326088323
1522326088323,1522326088462,1522326088462,1522326088630
1522326088630,1522326088770,1522326088770,1522326088937
1522326088937,1522326089075,1522326089075,1522326089245
1522326089245,1522326089383,1522326089384,1522326089552
1522326089552,1522326089691,1522326089691,1522326089786
1522326089786,1522326089921,1522326089921,1522326090065
1522326090065,1522326090205,1522326090205,1522326090371
1522326090371,1522326090511,1522326090511,1522326090678
1522326090678,1522326090817,1522326090817,1522326090912
1522326090912,1522326091051,1522326091051,1522326091146
1522326091146,1522326091284,1522326091284,1522326091379
1522326091379,1522326091518,1522326091518,1522326091612
1522326091612,1522326091749,1522326091749,1522326091844
1522326091844,1522326091983,1522326091983,1522326092077
1522326092077,1522326092214,1522326092214,1522326092309
1522326092309,1522326092448,1522326092448,1522326092547
1522326092547,1522326092687,1522326092687,1522326092783
1522326092783,1522326092922,1522326092922,1522326093017
1522326093017,1522326093153,1522326093153,1522326093248
1522326093248,1522326093387,1522326093387,1522326093481
1522326093481,1522326093623,1522326093623,1522326093717
1522326093717,1522326093857,1522326093857,1522326093954
1522326093954,1522326094092,1522326094092,1522326094187
1522326094187,1522326094326,1522326094326,1522326094420
1522326094420,1522326094559,1522326094559,1522326094654
1522326094654,1522326094794,1522326094795,1522326094889
