T1,T2,T3,T4
1522327813964,1522327814103,1522327814103,1522327814244
1522327814244,1522327814383,1522327814383,1522327814524
1522327814524,1522327814662,1522327814663,1522327814804
1522327814804,1522327814943,1522327814943,1522327815085
1522327815085,1522327815226,1522327815227,1522327815370
1522327815370,1522327815510,1522327815510,1522327815651
1522327815651,1522327815789,1522327815790,1522327815931
1522327815931,1522327816069,1522327816069,1522327816217
1522327816217,1522327816356,1522327816356,1522327816497
1522327816497,1522327816636,1522327816636,1522327816777
1522327816777,1522327816916,1522327816916,1522327817057
1522327817057,1522327817196,1522327817196,1522327817337
1522327817337,1522327817476,1522327817476,1522327817617
1522327817617,1522327817756,1522327817756,1522327817897
1522327817898,1522327818036,1522327818036,1522327818177
1522327818177,1522327818315,1522327818316,1522327818457
1522327818457,1522327818595,1522327818595,1522327818736
1522327818736,1522327818874,1522327818875,1522327819016
1522327819016,1522327819155,1522327819155,1522327819296
1522327819296,1522327819435,1522327819435,1522327819577
1522327819577,1522327819715,1522327819715,1522327819857
1522327819857,1522327819995,1522327819995,1522327820136
1522327820136,1522327820275,1522327820275,1522327820416
1522327820416,1522327820555,1522327820555,1522327820696
1522327820696,1522327820835,1522327820835,1522327820976
1522327820976,1522327821114,1522327821114,1522327821256
1522327821256,1522327821395,1522327821395,1522327821536
1522327821536,1522327821674,1522327821674,1522327821816
1522327821816,1522327821955,1522327821956,1522327822098
1522327822098,1522327822236,1522327822236,1522327822377
1522327822377,1522327822516,1522327822516,1522327822667
1522327822667,1522327822807,1522327822808,1522327822949
1522327822949,1522327823087,1522327823087,1522327823229
1522327823229,1522327823368,1522327823368,1522327823511
1522327823511,1522327823651,1522327823651,1522327823793
1522327823793,1522327823931,1522327823931,1522327824073
1522327824073,1522327824211,1522327824211,1522327824370
1522327824370,1522327824508,1522327824508,1522327824651
1522327824651,1522327824789,1522327824789,1522327824930
1522327824930,1522327825069,1522327825069,1522327825211
1522327825211,1522327825350,1522327825350,1522327825491
1522327825491,1522327825630,1522327825630,1522327825771
1522327825771,1522327825910,1522327825910,1522327826051
1522327826051,1522327826189,1522327826189,1522327826331
1522327826331,1522327826469,1522327826469,1522327826610
1522327826611,1522327826749,1522327826749,1522327826890
1522327826890,1522327827029,1522327827029,1522327827170
1522327827170,1522327827309,1522327827309,1522327827450
1522327827450,1522327827589,1522327827589,1522327827730
1522327827730,1522327827868,1522327827868,1522327828009
1522327828009,1522327828148,1522327828148,1522327828289
1522327828289,1522327828428,1522327828428,1522327828569
1522327828569,1522327828707,1522327828707,1522327828848
1522327828848,1522327828986,1522327828987,1522327829128
1522327829128,1522327829266,1522327829266,1522327829407
1522327829407,1522327829545,1522327829545,1522327829687
1522327829687,1522327829825,1522327829825,1522327829966
1522327829966,1522327830105,1522327830105,1522327830246
1522327830246,1522327830384,1522327830385,1522327830526
1522327830526,1522327830664,1522327830664,1522327830805
1522327830805,1522327830944,1522327830944,1522327831085
1522327831085,1522327831224,1522327831224,1522327831366
1522327831366,1522327831504,1522327831504,1522327831645
1522327831645,1522327831784,1522327831784,1522327831925
1522327831925,1522327832064,1522327832064,1522327832206
1522327832206,1522327832345,1522327832345,1522327832486
1522327832486,1522327832624,1522327832624,1522327832766
1522327832766,1522327832904,1522327832904,1522327833046
1522327833046,1522327833184,1522327833184,1522327833326
1522327833326,1522327833464,1522327833464,1522327833605
1522327833605,1522327833744,1522327833744,1522327833885
1522327833885,1522327834024,1522327834024,1522327834166
1522327834166,1522327834305,1522327834305,1522327834446
1522327834446,1522327834584,1522327834585,1522327834726
1522327834726,1522327834865,1522327834865,1522327835006
1522327835006,1522327835145,1522327835145,1522327835286
1522327835286,1522327835425,1522327835425,1522327835566
1522327835566,1522327835704,1522327835704,1522327835846
1522327835846,1522327835984,1522327835984,1522327836126
1522327836126,1522327836265,1522327836265,1522327836406
1522327836406,1522327836545,1522327836545,1522327836686
1522327836686,1522327836824,1522327836824,1522327836965
1522327836965,1522327837104,1522327837104,1522327837245
1522327837245,1522327837384,1522327837384,1522327837525
1522327837525,1522327837664,1522327837664,1522327837805
1522327837805,1522327837943,1522327837944,1522327838085
1522327838085,1522327838224,1522327838224,1522327838365
1522327838365,1522327838503,1522327838504,1522327838645
1522327838645,1522327838783,1522327838783,1522327838925
1522327838925,1522327839064,1522327839064,1522327839205
1522327839205,1522327839344,1522327839344,1522327839485
1522327839485,1522327839623,1522327839623,1522327839764
1522327839764,1522327839902,1522327839903,1522327840045
1522327840045,1522327840183,1522327840183,1522327840325
1522327840325,1522327840463,1522327840463,1522327840606
1522327840606,1522327840746,1522327840746,1522327840887
1522327840887,1522327841026,1522327841026,1522327841167
1522327841167,1522327841305,1522327841306,1522327841447
1522327841447,1522327841585,1522327841586,1522327841727
1522327841727,1522327841865,1522327841865,1522327842006
1522327842006,1522327842145,1522327842145,1522327842286
1522327842286,1522327842425,1522327842425,1522327842566
1522327842566,1522327842705,1522327842705,1522327842846
1522327842846,1522327842984,1522327842985,1522327843130
1522327843130,1522327843268,1522327843268,1522327843409
1522327843409,1522327843548,1522327843548,1522327843689
1522327843689,1522327843828,1522327843828,1522327843969
1522327843969,1522327844108,1522327844108,1522327844249
1522327844249,1522327844387,1522327844387,1522327844529
1522327844529,1522327844668,1522327844668,1522327844809
1522327844809,1522327844948,1522327844948,1522327845089
1522327845089,1522327845228,1522327845228,1522327845369
1522327845369,1522327845508,1522327845508,1522327845649
1522327845649,1522327845788,1522327845788,1522327845929
1522327845929,1522327846068,1522327846068,1522327846209
1522327846209,1522327846348,1522327846348,1522327846490
1522327846490,1522327846630,1522327846630,1522327846771
1522327846771,1522327846910,1522327846911,1522327847053
1522327847053,1522327847192,1522327847192,1522327847334
1522327847334,1522327847472,1522327847473,1522327847615
1522327847615,1522327847754,1522327847754,1522327847896
1522327847896,1522327848034,1522327848034,1522327848175
1522327848175,1522327848314,1522327848314,1522327848457
1522327848457,1522327848595,1522327848595,1522327848737
1522327848737,1522327848875,1522327848875,1522327849016
1522327849016,1522327849155,1522327849155,1522327849296
1522327849296,1522327849434,1522327849436,1522327849578
1522327849578,1522327849716,1522327849717,1522327849859
1522327849859,1522327849998,1522327849998,1522327850140
1522327850140,1522327850279,1522327850279,1522327850420
1522327850420,1522327850559,1522327850559,1522327850701
1522327850701,1522327850839,1522327850839,1522327850980
1522327850980,1522327851118,1522327851119,1522327851260
1522327851260,1522327851399,1522327851400,1522327851541
1522327851541,1522327851680,1522327851680,1522327851821
1522327851821,1522327851960,1522327851961,1522327852102
1522327852102,1522327852240,1522327852241,1522327852382
1522327852382,1522327852521,1522327852521,1522327852663
1522327852663,1522327852801,1522327852801,1522327852942
1522327852942,1522327853081,1522327853081,1522327853223
1522327853223,1522327853361,1522327853361,1522327853502
1522327853503,1522327853641,1522327853641,1522327853782
1522327853782,1522327853920,1522327853921,1522327854063
1522327854063,1522327854201,1522327854201,1522327854343
1522327854343,1522327854481,1522327854481,1522327854623
1522327854623,1522327854762,1522327854762,1522327854903
1522327854903,1522327855042,1522327855042,1522327855183
1522327855183,1522327855321,1522327855321,1522327855462
1522327855462,1522327855601,1522327855601,1522327855742
1522327855742,1522327855881,1522327855881,1522327856023
1522327856023,1522327856161,1522327856162,1522327856303
1522327856303,1522327856441,1522327856441,1522327856583
1522327856583,1522327856721,1522327856721,1522327856863
1522327856863,1522327857001,1522327857001,1522327857142
1522327857142,1522327857281,1522327857281,1522327857422
1522327857422,1522327857561,1522327857561,1522327857702
1522327857702,1522327857841,1522327857841,1522327857982
1522327857982,1522327858120,1522327858121,1522327858261
