T1,T2,T3,T4
1522327495108,1522327495246,1522327495246,1522327495389
1522327495389,1522327495527,1522327495528,1522327495668
1522327495668,1522327495807,1522327495807,1522327495950
1522327495950,1522327496088,1522327496089,1522327496230
1522327496230,1522327496368,1522327496368,1522327496510
1522327496510,1522327496648,1522327496648,1522327496789
1522327496789,1522327496928,1522327496928,1522327497070
1522327497070,1522327497208,1522327497208,1522327497350
1522327497350,1522327497488,1522327497488,1522327497629
1522327497630,1522327497768,1522327497768,1522327497910
1522327497910,1522327498048,1522327498048,1522327498190
1522327498191,1522327498329,1522327498329,1522327498470
1522327498470,1522327498609,1522327498609,1522327498750
1522327498750,1522327498888,1522327498888,1522327499029
1522327499029,1522327499168,1522327499168,1522327499310
1522327499310,1522327499448,1522327499448,1522327499589
1522327499589,1522327499727,1522327499727,1522327499868
1522327499868,1522327500006,1522327500006,1522327500148
1522327500148,1522327500286,1522327500287,1522327500428
1522327500428,1522327500566,1522327500566,1522327500708
1522327500708,1522327500847,1522327500847,1522327500988
1522327500988,1522327501126,1522327501126,1522327501268
1522327501268,1522327501406,1522327501406,1522327501547
1522327501547,1522327501686,1522327501686,1522327501827
1522327501827,1522327501966,1522327501966,1522327502107
1522327502108,1522327502246,1522327502246,1522327502387
1522327502387,1522327502526,1522327502526,1522327502667
1522327502667,1522327502805,1522327502805,1522327502946
1522327502946,1522327503086,1522327503086,1522327503227
1522327503227,1522327503365,1522327503366,1522327503507
1522327503507,1522327503645,1522327503645,1522327503786
1522327503786,1522327503924,1522327503925,1522327504066
1522327504066,1522327504204,1522327504204,1522327504345
1522327504345,1522327504483,1522327504483,1522327504624
1522327504624,1522327504762,1522327504762,1522327504903
1522327504903,1522327505041,1522327505042,1522327505182
1522327505182,1522327505321,1522327505321,1522327505463
1522327505463,1522327505601,1522327505601,1522327505742
1522327505742,1522327505880,1522327505880,1522327506022
1522327506022,1522327506164,1522327506164,1522327506305
1522327506305,1522327506444,1522327506444,1522327506585
1522327506585,1522327506723,1522327506724,1522327506865
1522327506865,1522327507003,1522327507003,1522327507144
1522327507144,1522327507282,1522327507282,1522327507423
1522327507423,1522327507562,1522327507562,1522327507703
1522327507703,1522327507842,1522327507842,1522327507983
1522327507983,1522327508121,1522327508121,1522327508263
1522327508263,1522327508402,1522327508402,1522327508543
1522327508543,1522327508681,1522327508681,1522327508822
1522327508822,1522327508961,1522327508961,1522327509102
1522327509102,1522327509240,1522327509240,1522327509381
1522327509381,1522327509519,1522327509520,1522327509661
1522327509661,1522327509799,1522327509799,1522327509940
1522327509940,1522327510079,1522327510079,1522327510220
1522327510220,1522327510358,1522327510358,1522327510500
1522327510500,1522327510639,1522327510639,1522327510781
1522327510781,1522327510919,1522327510919,1522327511062
1522327511062,1522327511200,1522327511201,1522327511342
1522327511342,1522327511480,1522327511480,1522327511621
1522327511621,1522327511760,1522327511760,1522327511901
1522327511901,1522327512039,1522327512039,1522327512180
