T1,T2,T3,T4
1522326369922,1522326370062,1522326370062,1522326370203
1522326370204,1522326370342,1522326370342,1522326370483
1522326370483,1522326370621,1522326370621,1522326370762
1522326370762,1522326370901,1522326370901,1522326371042
1522326371042,1522326371180,1522326371180,1522326371322
1522326371322,1522326371460,1522326371460,1522326371601
1522326371601,1522326371739,1522326371740,1522326371881
1522326371881,1522326372019,1522326372020,1522326372161
1522326372161,1522326372299,1522326372299,1522326372440
1522326372440,1522326372579,1522326372579,1522326372720
1522326372720,1522326372858,1522326372858,1522326372999
1522326372999,1522326373138,1522326373138,1522326373279
1522326373279,1522326373417,1522326373417,1522326373559
1522326373559,1522326373697,1522326373697,1522326373838
1522326373838,1522326373976,1522326373976,1522326374117
1522326374117,1522326374256,1522326374256,1522326374397
1522326374397,1522326374535,1522326374536,1522326374676
1522326374676,1522326374815,1522326374815,1522326374956
1522326374956,1522326375095,1522326375095,1522326375236
1522326375236,1522326375374,1522326375374,1522326375515
1522326375515,1522326375653,1522326375653,1522326375794
1522326375794,1522326375932,1522326375932,1522326376073
1522326376073,1522326376211,1522326376212,1522326376353
1522326376353,1522326376491,1522326376491,1522326376632
1522326376632,1522326376770,1522326376770,1522326376911
1522326376911,1522326377049,1522326377049,1522326377190
1522326377190,1522326377329,1522326377329,1522326377470
1522326377470,1522326377608,1522326377608,1522326377749
1522326377749,1522326377887,1522326377887,1522326378028
1522326378028,1522326378167,1522326378168,1522326378310
1522326378310,1522326378448,1522326378449,1522326378590
1522326378590,1522326378728,1522326378728,1522326378869
1522326378869,1522326379007,1522326379008,1522326379149
1522326379149,1522326379287,1522326379287,1522326379428
1522326379429,1522326379567,1522326379567,1522326379708
1522326379708,1522326379846,1522326379846,1522326379987
1522326379987,1522326380126,1522326380126,1522326380267
1522326380267,1522326380406,1522326380406,1522326380547
1522326380547,1522326380685,1522326380686,1522326380826
1522326380826,1522326380964,1522326380965,1522326381105
1522326381105,1522326381243,1522326381244,1522326381384
1522326381384,1522326381522,1522326381523,1522326381663
1522326381664,1522326381801,1522326381802,1522326381942
1522326381942,1522326382080,1522326382081,1522326382222
1522326382222,1522326382359,1522326382360,1522326382501
1522326382501,1522326382639,1522326382639,1522326382780
1522326382780,1522326382918,1522326382918,1522326383059
1522326383059,1522326383197,1522326383198,1522326383338
1522326383339,1522326383476,1522326383477,1522326383617
1522326383617,1522326383756,1522326383756,1522326383897
1522326383897,1522326384035,1522326384035,1522326384176
1522326384176,1522326384314,1522326384314,1522326384455
1522326384455,1522326384593,1522326384593,1522326384734
1522326384734,1522326384872,1522326384872,1522326385013
1522326385013,1522326385152,1522326385152,1522326385293
1522326385293,1522326385431,1522326385431,1522326385572
1522326385572,1522326385710,1522326385710,1522326385851
1522326385851,1522326385989,1522326385990,1522326386130
1522326386130,1522326386269,1522326386270,1522326386410
1522326386410,1522326386548,1522326386548,1522326386689
1522326386689,1522326386827,1522326386828,1522326386968
1522326386969,1522326387107,1522326387107,1522326387248
1522326387248,1522326387386,1522326387387,1522326387527
1522326387527,1522326387665,1522326387666,1522326387807
1522326387807,1522326387945,1522326387945,1522326388086
1522326388086,1522326388224,1522326388224,1522326388365
1522326388365,1522326388503,1522326388503,1522326388645
1522326388645,1522326388784,1522326388784,1522326388925
1522326388925,1522326389063,1522326389063,1522326389204
1522326389204,1522326389343,1522326389343,1522326389484
1522326389484,1522326389624,1522326389624,1522326389765
1522326389765,1522326389903,1522326389903,1522326390045
1522326390045,1522326390183,1522326390184,1522326390325
1522326390325,1522326390463,1522326390463,1522326390604
1522326390604,1522326390742,1522326390743,1522326390883
1522326390883,1522326391021,1522326391022,1522326391162
1522326391162,1522326391300,1522326391301,1522326391441
1522326391441,1522326391579,1522326391579,1522326391721
1522326391721,1522326391859,1522326391860,1522326392000
1522326392000,1522326392139,1522326392139,1522326392282
1522326392282,1522326392421,1522326392421,1522326392562
1522326392562,1522326392700,1522326392701,1522326392842
1522326392842,1522326392979,1522326392980,1522326393121
1522326393121,1522326393259,1522326393259,1522326393400
1522326393400,1522326393538,1522326393538,1522326393679
1522326393679,1522326393817,1522326393818,1522326393958
1522326393958,1522326394097,1522326394097,1522326394238
1522326394238,1522326394376,1522326394376,1522326394517
1522326394517,1522326394657,1522326394657,1522326394801
1522326394801,1522326394939,1522326394940,1522326395081
1522326395081,1522326395220,1522326395220,1522326395360
1522326395360,1522326395499,1522326395499,1522326395640
1522326395640,1522326395778,1522326395778,1522326395919
1522326395919,1522326396058,1522326396058,1522326396199
1522326396199,1522326396337,1522326396337,1522326396478
1522326396478,1522326396616,1522326396616,1522326396757
1522326396758,1522326396896,1522326396896,1522326397037
1522326397037,1522326397175,1522326397175,1522326397316
1522326397316,1522326397454,1522326397455,1522326397595
1522326397595,1522326397734,1522326397734,1522326397875
1522326397875,1522326398013,1522326398013,1522326398154
1522326398154,1522326398292,1522326398293,1522326398434
1522326398434,1522326398572,1522326398572,1522326398713
1522326398713,1522326398851,1522326398852,1522326398993
1522326398993,1522326399131,1522326399132,1522326399273
1522326399273,1522326399411,1522326399411,1522326399552
1522326399552,1522326399690,1522326399691,1522326399831
1522326399832,1522326399970,1522326399970,1522326400111
1522326400111,1522326400250,1522326400250,1522326400391
1522326400391,1522326400529,1522326400529,1522326400670
1522326400671,1522326400809,1522326400809,1522326400950
1522326400950,1522326401088,1522326401088,1522326401229
