T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522325506251,1522325506379,1522325506379,1522325506476
1522325506476,1522325506607,1522325506607,1522325506706
1522325506706,1522325506837,1522325506837,1522325506933
1522325506933,1522325507065,1522325507065,1522325507162
1522325507162,1522325507294,1522325507294,1522325507391
1522325507391,1522325507524,1522325507524,1522325507621
1522325507621,1522325507756,1522325507756,1522325507853
1522325507853,1522325507984,1522325507984,1522325508082
1522325508082,1522325508212,1522325508212,1522325508314
1522325508314,1522325508444,1522325508444,1522325508541
1522325508541,1522325508672,1522325508672,1522325508769
1522325508769,1522325508900,1522325508900,1522325508997
1522325508997,1522325509131,1522325509131,1522325509228
1522325509228,1522325509356,1522325509356,1522325509459
1522325509459,1522325509590,1522325509590,1522325509686
1522325509686,1522325509819,1522325509819,1522325509916
1522325509916,1522325510047,1522325510047,1522325510145
1522325510145,1522325510278,1522325510278,1522325510376
1522325510376,1522325510508,1522325510508,1522325510605
1522325510605,1522325510736,1522325510736,1522325510833
1522325510833,1522325510964,1522325510964,1522325511061
1522325511061,1522325511194,1522325511194,1522325511291
1522325511291,1522325511422,1522325511422,1522325511519
1522325511519,1522325511650,1522325511650,1522325511747
1522325511747,1522325511878,1522325511879,1522325511976
1522325511976,1522325512968,1522325512968,1522325513068
1522325513068,1522325513201,1522325513202,1522325513298
1522325513298,1522325513430,1522325513430,1522325513527
1522325513527,1522325513659,1522325513659,1522325513761
1522325513761,1522325513889,1522325513889,1522325513985
1522325513985,1522325514116,1522325514116,1522325514213
1522325514213,1522325514341,1522325514341,1522325514438
1522325514438,1522325514570,1522325514570,1522325514667
1522325514667,1522325514800,1522325514800,1522325514896
1522325514896,1522325515028,1522325515028,1522325515125
1522325515125,1522325515254,1522325515254,1522325515351
1522325515351,1522325515478,1522325515478,1522325515575
1522325515575,1522325515706,1522325515706,1522325515805
1522325515805,1522325515940,1522325515940,1522325516037
1522325516037,1522325516172,1522325516172,1522325516268
1522325516269,1522325516400,1522325516400,1522325516497
1522325516497,1522325516625,1522325516625,1522325517179
1522325517179,1522325517310,1522325517310,1522325517443
1522325517443,1522325517575,1522325517575,1522325517750
1522325517750,1522325517881,1522325517881,1522325517981
1522325517981,1522325518120,1522325518120,1522325518263
1522325518263,1522325518396,1522325518396,1522325518493
1522325518493,1522325518624,1522325518624,1522325518774
1522325518774,1522325518906,1522325518906,1522325519081
1522325519082,1522325519214,1522325519214,1522325519389
1522325519389,1522325519520,1522325519520,1522325519696
1522325519696,1522325519828,1522325519828,1522325519924
1522325519924,1522325520061,1522325520061,1522325520209
1522325520209,1522325520348,1522325520348,1522325520505
1522325520505,1522325520642,1522325520642,1522325520738
1522325520738,1522325520865,1522325520866,1522325521027
1522325521027,1522325521158,1522325521158,1522325521334
1522325521334,1522325521466,1522325521467,1522325521563
1522325521563,1522325521696,1522325521696,1522325521848
1522325521848,1522325521981,1522325521981,1522325522156
1522325522156,1522325522287,1522325522287,1522325522461
1522325522461,1522325522592,1522325522592,1522325522768
1522325522768,1522325522902,1522325522902,1522325523075
1522325523075,1522325523207,1522325523207,1522325523382
1522325523382,1522325523515,1522325523515,1522325523689
1522325523689,1522325523821,1522325523821,1522325523997
1522325523997,1522325524129,1522325524129,1522325524304
1522325524304,1522325524435,1522325524435,1522325524611
1522325524611,1522325524744,1522325524744,1522325524919
