T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522324653814,1522324653924,1522324653925,1522324654116
1522324654116,1522324654229,1522324654229,1522324654421
1522324654422,1522324654535,1522324654535,1522324654652
1522324654652,1522324654764,1522324654764,1522324654881
1522324654881,1522324654992,1522324654992,1522324655109
1522324655109,1522324655218,1522324655218,1522324655335
1522324655335,1522324655446,1522324655446,1522324655563
1522324655563,1522324655676,1522324655676,1522324655794
1522324655794,1522324655906,1522324655906,1522324656023
1522324656023,1522324656134,1522324656134,1522324656253
1522324656253,1522324656368,1522324656368,1522324656485
1522324656485,1522324656596,1522324656596,1522324656712
1522324656713,1522324656823,1522324656824,1522324656941
1522324656941,1522324657052,1522324657052,1522324657168
1522324657169,1522324657283,1522324657283,1522324657494
1522324657494,1522324657604,1522324657604,1522324657801
1522324657801,1522324657914,1522324657914,1522324658109
1522324658109,1522324658224,1522324658224,1522324658416
1522324658416,1522324658528,1522324658528,1522324658723
1522324658723,1522324658830,1522324658830,1522324659031
1522324659031,1522324659147,1522324659147,1522324659337
1522324659337,1522324659449,1522324659449,1522324659644
1522324659644,1522324659756,1522324659756,1522324659951
1522324659952,1522324660064,1522324660064,1522324660260
1522324660260,1522324660375,1522324660375,1522324660491
1522324660491,1522324660603,1522324660603,1522324660771
1522324660771,1522324660881,1522324660881,1522324661078
1522324661078,1522324661191,1522324661192,1522324661385
1522324661385,1522324661497,1522324661497,1522324661692
1522324661692,1522324661805,1522324661805,1522324661921
1522324661921,1522324662035,1522324662035,1522324662152
1522324662152,1522324662265,1522324662265,1522324662409
1522324662409,1522324662521,1522324662521,1522324662819
1522324662819,1522324662930,1522324662930,1522324663126
1522324663126,1522324663238,1522324663238,1522324663433
1522324663433,1522324663544,1522324663544,1522324663741
1522324663741,1522324663854,1522324663854,1522324664047
1522324664047,1522324664161,1522324664161,1522324664279
1522324664279,1522324664386,1522324664386,1522324664560
1522324664560,1522324664668,1522324664668,1522324664784
1522324664784,1522324664896,1522324664896,1522324665071
1522324665071,1522324665183,1522324665183,1522324665378
1522324665379,1522324665489,1522324665489,1522324665686
1522324665686,1522324665798,1522324665798,1522324665993
1522324665993,1522324666106,1522324666106,1522324666302
1522324666303,1522324666416,1522324666416,1522324666607
1522324666607,1522324666721,1522324666721,1522324666914
1522324666914,1522324667025,1522324667025,1522324667222
1522324667222,1522324667335,1522324667335,1522324667529
1522324667529,1522324667642,1522324667643,1522324667836
1522324667836,1522324667949,1522324667949,1522324668143
1522324668143,1522324668256,1522324668256,1522324668450
1522324668450,1522324668562,1522324668562,1522324668758
1522324668758,1522324668870,1522324668871,1522324669065
1522324669065,1522324669177,1522324669177,1522324669372
1522324669372,1522324669482,1522324669482,1522324669680
1522324669680,1522324669791,1522324669791,1522324669996
1522324669996,1522324670108,1522324670109,1522324670293
1522324670293,1522324670405,1522324670405,1522324670601
