T1,T2,T3,T4
1522324938032,1522324938147,1522324938147,1522324938271
1522324938271,1522324938391,1522324938391,1522324938579
1522324938579,1522324938700,1522324938701,1522324938885
1522324938885,1522324939012,1522324939012,1522324939203
1522324939203,1522324939322,1522324939322,1522324939505
1522324939505,1522324939628,1522324939628,1522324939807
1522324939807,1522324939928,1522324939928,1522324940038
1522324940038,1522324940159,1522324940159,1522324940319
1522324940319,1522324940440,1522324940440,1522324940626
1522324940627,1522324940746,1522324940747,1522324940933
1522324940934,1522324941054,1522324941054,1522324941241
1522324941241,1522324941362,1522324941362,1522324941548
1522324941548,1522324941671,1522324941671,1522324941854
1522324941855,1522324941975,1522324941975,1522324942162
1522324942162,1522324942283,1522324942283,1522324942469
1522324942470,1522324942590,1522324942590,1522324942777
1522324942777,1522324942898,1522324942898,1522324943084
1522324943084,1522324943204,1522324943204,1522324943391
1522324943391,1522324943510,1522324943510,1522324943698
1522324943699,1522324943819,1522324943819,1522324944005
1522324944005,1522324944125,1522324944125,1522324944236
1522324944236,1522324944354,1522324944354,1522324944462
1522324944463,1522324944582,1522324944582,1522324944696
1522324944696,1522324944815,1522324944815,1522324944926
1522324944926,1522324945048,1522324945048,1522324945157
1522324945157,1522324945276,1522324945277,1522324945439
1522324945439,1522324945559,1522324945559,1522324945746
1522324945746,1522324945868,1522324945868,1522324946054
1522324946054,1522324946168,1522324946168,1522324946361
1522324946361,1522324946481,1522324946481,1522324946669
1522324946669,1522324946791,1522324946791,1522324946975
1522324946975,1522324947095,1522324947095,1522324947203
1522324947203,1522324947324,1522324947324,1522324947487
1522324947487,1522324947613,1522324947613,1522324947794
1522324947794,1522324947913,1522324947913,1522324948102
1522324948102,1522324948222,1522324948222,1522324948411
1522324948411,1522324948541,1522324948541,1522324948716
1522324948716,1522324948835,1522324948835,1522324949023
1522324949023,1522324949143,1522324949143,1522324949330
1522324949330,1522324949450,1522324949450,1522324949638
1522324949638,1522324949756,1522324949756,1522324949945
1522324949945,1522324950064,1522324950064,1522324950252
1522324950252,1522324950368,1522324950369,1522324950482
1522324950482,1522324950604,1522324950604,1522324950764
1522324950764,1522324950884,1522324950884,1522324951071
1522324951071,1522324951191,1522324951191,1522324951378
1522324951378,1522324952490,1522324952490,1522324952599
1522324952599,1522324952718,1522324952718,1522324952827
1522324952827,1522324952946,1522324952946,1522324953055
1522324953055,1522324953175,1522324953175,1522324953284
1522324953284,1522324953404,1522324953404,1522324953512
1522324953512,1522324953631,1522324953631,1522324953739
1522324953739,1522324953862,1522324953862,1522324953971
1522324953971,1522324954091,1522324954091,1522324954199
1522324954199,1522324954315,1522324954315,1522324954423
1522324954423,1522324954546,1522324954546,1522324954654
1522324954654,1522324954775,1522324954775,1522324954884
1522324954884,1522324955010,1522324955010,1522324955119
1522324955119,1522324955238,1522324955238,1522324955347
1522324955347,1522324955466,1522324955466,1522324955575
1522324955575,1522324955694,1522324955694,1522324955803
1522324955803,1522324955923,1522324955923,1522324956031
1522324956031,1522324956149,1522324956149,1522324956257
1522324956257,1522324956378,1522324956378,1522324956486
1522324956486,1522324956604,1522324956604,1522324956712
1522324956712,1522324956828,1522324956828,1522324956939
1522324956940,1522324957060,1522324957060,1522324957168
1522324957168,1522324957289,1522324957289,1522324957397
1522324957397,1522324957517,1522324957517,1522324957625
1522324957625,1522324957746,1522324957746,1522324957855
1522324957855,1522324957975,1522324957975,1522324958083
1522324958083,1522324958204,1522324958204,1522324958312
1522324958312,1522324958431,1522324958432,1522324958540
1522324958540,1522324958661,1522324958661,1522324958769
1522324958769,1522324958890,1522324958890,1522324958998
