T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326093898,1522326094039,1522326094039,1522326094126
1522326094126,1522326094269,1522326094269,1522326094357
1522326094357,1522326094501,1522326094501,1522326094588
1522326094588,1522326094731,1522326094731,1522326094818
1522326094818,1522326094956,1522326094956,1522326095045
1522326095045,1522326095186,1522326095186,1522326095274
1522326095274,1522326095415,1522326095415,1522326095505
1522326095505,1522326095648,1522326095648,1522326095735
1522326095735,1522326095878,1522326095878,1522326095965
1522326095965,1522326096108,1522326096108,1522326096195
1522326096195,1522326096337,1522326096337,1522326096425
1522326096425,1522326096569,1522326096569,1522326096657
1522326096657,1522326096798,1522326096798,1522326096887
1522326096887,1522326097031,1522326097031,1522326097119
1522326097119,1522326097261,1522326097261,1522326097379
1522326097379,1522326097523,1522326097523,1522326097612
1522326097612,1522326097756,1522326097756,1522326097845
1522326097845,1522326097988,1522326097988,1522326098076
1522326098076,1522326098218,1522326098218,1522326098305
1522326098305,1522326098447,1522326098447,1522326098535
1522326098535,1522326098677,1522326098677,1522326098764
1522326098764,1522326098903,1522326098903,1522326098990
1522326098990,1522326099132,1522326099132,1522326099220
1522326099220,1522326099363,1522326099363,1522326099451
1522326099451,1522326099591,1522326099591,1522326099678
1522326099678,1522326099816,1522326099816,1522326099903
1522326099904,1522326100043,1522326100043,1522326100131
1522326100131,1522326100274,1522326100274,1522326100361
1522326100361,1522326100503,1522326100503,1522326100590
1522326100590,1522326100732,1522326100732,1522326100820
1522326100820,1522326100966,1522326100966,1522326101054
1522326101054,1522326101197,1522326101197,1522326101284
1522326101284,1522326101429,1522326101429,1522326101516
1522326101516,1522326101659,1522326101659,1522326101746
1522326101746,1522326101887,1522326101887,1522326101975
1522326101975,1522326102116,1522326102117,1522326102204
1522326102204,1522326102346,1522326102346,1522326102434
1522326102434,1522326102576,1522326102576,1522326102664
1522326102664,1522326102806,1522326102806,1522326102893
1522326102893,1522326103035,1522326103035,1522326103124
1522326103124,1522326103264,1522326103264,1522326103352
1522326103352,1522326103494,1522326103494,1522326103582
1522326103582,1522326103721,1522326103722,1522326103887
1522326103887,1522326104029,1522326104029,1522326104195
1522326104195,1522326104338,1522326104338,1522326104502
1522326104502,1522326104645,1522326104645,1522326104732
1522326104732,1522326104880,1522326104880,1522326105014
1522326105014,1522326105157,1522326105157,1522326105244
1522326105244,1522326105388,1522326105388,1522326105526
1522326105526,1522326105667,1522326105667,1522326105834
1522326105834,1522326105977,1522326105977,1522326106146
1522326106146,1522326106291,1522326106291,1522326106453
1522326106453,1522326106598,1522326106598,1522326106686
1522326106686,1522326106829,1522326106829,1522326106916
1522326106917,1522326107063,1522326107063,1522326107150
1522326107150,1522326107293,1522326107293,1522326107380
1522326107380,1522326107521,1522326107521,1522326107608
1522326107608,1522326107749,1522326107749,1522326107836
1522326107837,1522326107985,1522326107985,1522326108072
1522326108072,1522326108215,1522326108215,1522326108394
1522326108394,1522326108541,1522326108541,1522326108672
1522326108672,1522326108821,1522326108821,1522326108909
1522326108909,1522326109059,1522326109059,1522326109146
1522326109146,1522326109284,1522326109284,1522326109371
1522326109371,1522326109513,1522326109513,1522326109600
1522326109600,1522326109739,1522326109739,1522326109826
1522326109826,1522326109969,1522326109969,1522326110057
1522326110057,1522326110199,1522326110199,1522326110287
1522326110287,1522326110428,1522326110429,1522326110516
1522326110516,1522326110654,1522326110654,1522326110741
1522326110742,1522326110885,1522326110885,1522326110972
1522326110972,1522326111115,1522326111115,1522326111202
1522326111202,1522326111344,1522326111345,1522326111434
1522326111434,1522326111575,1522326111575,1522326111662
1522326111662,1522326111807,1522326111807,1522326111895
1522326111895,1522326112037,1522326112037,1522326112125
