T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522325786093,1522325786228,1522325786228,1522325786320
1522325786320,1522325786457,1522325786457,1522325786549
1522325786549,1522325786685,1522325786685,1522325786777
1522325786777,1522325786913,1522325786913,1522325787179
1522325787179,1522325787317,1522325787317,1522325787472
1522325787472,1522325787608,1522325787608,1522325787785
1522325787785,1522325787928,1522325787928,1522325788085
1522325788085,1522325788223,1522325788223,1522325788393
1522325788393,1522325788530,1522325788530,1522325788622
1522325788622,1522325788758,1522325788758,1522325788853
1522325788853,1522325788992,1522325788992,1522325789109
1522325789109,1522325789253,1522325789253,1522325789417
1522325789417,1522325789560,1522325789560,1522325789724
1522325789724,1522325789863,1522325789863,1522325790033
1522325790033,1522325790171,1522325790171,1522325790338
1522325790338,1522325790475,1522325790475,1522325790646
1522325790646,1522325790782,1522325790782,1522325790955
1522325790955,1522325791097,1522325791097,1522325791261
1522325791261,1522325791397,1522325791397,1522325791568
1522325791568,1522325791707,1522325791707,1522325791875
1522325791875,1522325792015,1522325792015,1522325792215
1522325792215,1522325792371,1522325792371,1522325792489
1522325792489,1522325792626,1522325792626,1522325792796
1522325792796,1522325792933,1522325792933,1522325793107
1522325793107,1522325793244,1522325793244,1522325793412
1522325793412,1522325793549,1522325793549,1522325793718
1522325793718,1522325793854,1522325793854,1522325794026
1522325794026,1522325794163,1522325794163,1522325794332
1522325794332,1522325794468,1522325794468,1522325794640
1522325794640,1522325794776,1522325794776,1522325794947
1522325794947,1522325795083,1522325795083,1522325795253
1522325795253,1522325795391,1522325795391,1522325795561
1522325795561,1522325795698,1522325795698,1522325795790
1522325795790,1522325795926,1522325795926,1522325796018
1522325796019,1522325796156,1522325796156,1522325796250
1522325796250,1522325796383,1522325796383,1522325796475
1522325796475,1522325796613,1522325796613,1522325796705
1522325796705,1522325796842,1522325796842,1522325796934
1522325796934,1522325797071,1522325797071,1522325797163
1522325797163,1522325797299,1522325797299,1522325797391
1522325797391,1522325797530,1522325797530,1522325797666
1522325797666,1522325797810,1522325797810,1522325797902
1522325797902,1522325798038,1522325798038,1522325798130
1522325798130,1522325798266,1522325798266,1522325798361
1522325798361,1522325798498,1522325798499,1522325798591
1522325798591,1522325798727,1522325798727,1522325798820
1522325798820,1522325798955,1522325798955,1522325799047
1522325799047,1522325799183,1522325799183,1522325799283
1522325799283,1522325799419,1522325799419,1522325799512
1522325799512,1522325799649,1522325799649,1522325799741
1522325799741,1522325799880,1522325799880,1522325800019
1522325800019,1522325800169,1522325800169,1522325800261
1522325800261,1522325800398,1522325800398,1522325800490
1522325800490,1522325800627,1522325800627,1522325800719
1522325800720,1522325800857,1522325800857,1522325801018
1522325801018,1522325801156,1522325801156,1522325801295
1522325801295,1522325801428,1522325801428,1522325801615
1522325801615,1522325801764,1522325801764,1522325801910
1522325801910,1522325802049,1522325802049,1522325802141
1522325802141,1522325802278,1522325802278,1522325802371
1522325802371,1522325802508,1522325802508,1522325802600
1522325802600,1522325802744,1522325802744,1522325802835
1522325802836,1522325802974,1522325802974,1522325803139
1522325803139,1522325803277,1522325803277,1522325803370
1522325803370,1522325803506,1522325803506,1522325803765
1522325803765,1522325803905,1522325803906,1522325804064
1522325804064,1522325804197,1522325804197,1522325804368
1522325804368,1522325804503,1522325804503,1522325804675
1522325804675,1522325804811,1522325804811,1522325805085
1522325805085,1522325805221,1522325805221,1522325805392
1522325805392,1522325805530,1522325805530,1522325805699
1522325805699,1522325805838,1522325805838,1522325806007
1522325806007,1522325806144,1522325806144,1522325806320
1522325806321,1522325806458,1522325806458,1522325806620
1522325806620,1522325806757,1522325806757,1522325806931
1522325806931,1522325807074,1522325807074,1522325807235
1522325807235,1522325807369,1522325807369,1522325807542
1522325807542,1522325807690,1522325807690,1522325807849
1522325807849,1522325807986,1522325807986,1522325808078
1522325808078,1522325808215,1522325808215,1522325808306
1522325808306,1522325808443,1522325808443,1522325808535
1522325808535,1522325808671,1522325808671,1522325808873
1522325808873,1522325809011,1522325809011,1522325809106
1522325809106,1522325809249,1522325809249,1522325809345
1522325809345,1522325809482,1522325809482,1522325809573
1522325809573,1522325809712,1522325809712,1522325809829
1522325809829,1522325809969,1522325809969,1522325810062
1522325810062,1522325810197,1522325810197,1522325810306
1522325810306,1522325810444,1522325810444,1522325810536
1522325810536,1522325810671,1522325810671,1522325810819
1522325810819,1522325810956,1522325810956,1522325811126
1522325811126,1522325811264,1522325811264,1522325811535
1522325811535,1522325811673,1522325811673,1522325811845
1522325811845,1522325811982,1522325811982,1522325812150
1522325812150,1522325812292,1522325812292,1522325812458
1522325812458,1522325812595,1522325812595,1522325812764
1522325812764,1522325812902,1522325812902,1522325812994
1522325812994,1522325813135,1522325813135,1522325813227
1522325813227,1522325813366,1522325813366,1522325813481
1522325813481,1522325813617,1522325813617,1522325813788
1522325813789,1522325813927,1522325813927,1522325814095
1522325814095,1522325814232,1522325814232,1522325814406
1522325814406,1522325814543,1522325814543,1522325814710
1522325814710,1522325814847,1522325814847,1522325814939
1522325814939,1522325815077,1522325815077,1522325815191
1522325815191,1522325815329,1522325815329,1522325815435
1522325815435,1522325815575,1522325815575,1522325815667
1522325815668,1522325815804,1522325815804,1522325815939
1522325815939,1522325816076,1522325816076,1522325816246
1522325816246,1522325816383,1522325816383,1522325816563
1522325816564,1522325816701,1522325816701,1522325816860
1522325816860,1522325816998,1522325816998,1522325817167
1522325817167,1522325817304,1522325817304,1522325817481
1522325817481,1522325817619,1522325817619,1522325817782
1522325817782,1522325817919,1522325817919,1522325818090
1522325818090,1522325818225,1522325818225,1522325818398
1522325818398,1522325818535,1522325818535,1522325818717
1522325818717,1522325818862,1522325818862,1522325819011
1522325819011,1522325819149,1522325819149,1522325819319
1522325819320,1522325819455,1522325819455,1522325819625
1522325819625,1522325819763,1522325819763,1522325819956
1522325819956,1522325820170,1522325820170,1522325820264
1522325820264,1522325820401,1522325820401,1522325820547
1522325820547,1522325820686,1522325820686,1522325820854
1522325820854,1522325820987,1522325820987,1522325821162
1522325821162,1522325821298,1522325821298,1522325821469
1522325821469,1522325821605,1522325821606,1522325821775
1522325821775,1522325821913,1522325821913,1522325822095
1522325822095,1522325822232,1522325822232,1522325822393
1522325822393,1522325822530,1522325822530,1522325822704
1522325822704,1522325822842,1522325822842,1522325823004
1522325823004,1522325823142,1522325823142,1522325823316
1522325823316,1522325823454,1522325823454,1522325823618
1522325823618,1522325823756,1522325823756,1522325823926
1522325823926,1522325824063,1522325824063,1522325824233
1522325824233,1522325824370,1522325824370,1522325824540
1522325824540,1522325824676,1522325824676,1522325824847
1522325824847,1522325824983,1522325824983,1522325825155
1522325825155,1522325825294,1522325825294,1522325825386
1522325825386,1522325825522,1522325825522,1522325825666
1522325825666,1522325825803,1522325825803,1522325825979
1522325825979,1522325826123,1522325826123,1522325826214
1522325826214,1522325826352,1522325826352,1522325826444
1522325826444,1522325826583,1522325826584,1522325826690
1522325826690,1522325826829,1522325826829,1522325827000
1522325827000,1522325827138,1522325827138,1522325827340
1522325827340,1522325827478,1522325827478,1522325827612
1522325827612,1522325827748,1522325827748,1522325827920
1522325827921,1522325828058,1522325828058,1522325828227
1522325828227,1522325828367,1522325828367,1522325828533
1522325828533,1522325828668,1522325828668,1522325828841
1522325828841,1522325828978,1522325828978,1522325829149
1522325829149,1522325829286,1522325829286,1522325829455
1522325829455,1522325829592,1522325829592,1522325829763
1522325829763,1522325829899,1522325829899,1522325830069
1522325830069,1522325830207,1522325830207,1522325830377
1522325830377,1522325830514,1522325830514,1522325830686
1522325830686,1522325830823,1522325830823,1522325830991
1522325830991,1522325831129,1522325831129,1522325831299
1522325831299,1522325831436,1522325831436,1522325831606
1522325831606,1522325831744,1522325831744,1522325831913
1522325831913,1522325832050,1522325832050,1522325832142
1522325832142,1522325832280,1522325832280,1522325832425
1522325832425,1522325832563,1522325832563,1522325832654
1522325832655,1522325832793,1522325832793,1522325832937
1522325832937,1522325833076,1522325833076,1522325833244
1522325833244,1522325833381,1522325833381,1522325833560
1522325833560,1522325833702,1522325833702,1522325833859
1522325833859,1522325833996,1522325833996,1522325834187
1522325834187,1522325834347,1522325834347,1522325834473
1522325834473,1522325834610,1522325834610,1522325834781
1522325834781,1522325834920,1522325834920,1522325835088
1522325835088,1522325835225,1522325835226,1522325835396
1522325835396,1522325835534,1522325835534,1522325835702
1522325835702,1522325835840,1522325835840,1522325836009
1522325836009,1522325836148,1522325836148,1522325836316
1522325836316,1522325836453,1522325836453,1522325836624
1522325836624,1522325836762,1522325836762,1522325836931
1522325836931,1522325837071,1522325837071,1522325837237
1522325837237,1522325837376,1522325837376,1522325837546
1522325837546,1522325837685,1522325837685,1522325837852
1522325837852,1522325837990,1522325837990,1522325838159
1522325838159,1522325838296,1522325838296,1522325838466
1522325838466,1522325838604,1522325838604,1522325838775
1522325838775,1522325838911,1522325838911,1522325839084
1522325839084,1522325839223,1522325839223,1522325839388
1522325839388,1522325839529,1522325839529,1522325839695
1522325839695,1522325839830,1522325839830,1522325840002
1522325840002,1522325840140,1522325840140,1522325840309
1522325840309,1522325840447,1522325840447,1522325840617
1522325840617,1522325840756,1522325840756,1522325840924
1522325840924,1522325841064,1522325841064,1522325841231
1522325841231,1522325841368,1522325841368,1522325841540
1522325841540,1522325841679,1522325841679,1522325841771
1522325841771,1522325841925,1522325841925,1522325842016
1522325842016,1522325842166,1522325842166,1522325842258
1522325842258,1522325842409,1522325842409,1522325842500
1522325842500,1522325842640,1522325842640,1522325842731
1522325842731,1522325842870,1522325842870,1522325842961
1522325842961,1522325843100,1522325843100,1522325843192
1522325843192,1522325843329,1522325843329,1522325843421
1522325843421,1522325843559,1522325843559,1522325843650
1522325843650,1522325843793,1522325843793,1522325843884
1522325843884,1522325844022,1522325844022,1522325844114
1522325844114,1522325844251,1522325844251,1522325844343
1522325844343,1522325844479,1522325844479,1522325844570
1522325844570,1522325844710,1522325844710,1522325844801
1522325844801,1522325844940,1522325844940,1522325845031
1522325845032,1522325845169,1522325845169,1522325845261
1522325845261,1522325845399,1522325845399,1522325845492
1522325845492,1522325845627,1522325845627,1522325845719
1522325845719,1522325845852,1522325845852,1522325845943
1522325845943,1522325846082,1522325846082,1522325846174
1522325846174,1522325846311,1522325846311,1522325846402
1522325846402,1522325846543,1522325846543,1522325846634
1522325846634,1522325846771,1522325846771,1522325846866
1522325846866,1522325847004,1522325847005,1522325847096
1522325847096,1522325847233,1522325847233,1522325847324
1522325847325,1522325847484,1522325847484,1522325847575
1522325847575,1522325847713,1522325847713,1522325847804
1522325847804,1522325847946,1522325847946,1522325848037
1522325848037,1522325848176,1522325848176,1522325848267
1522325848267,1522325848407,1522325848407,1522325848498
1522325848498,1522325848638,1522325848638,1522325848729
1522325848729,1522325848868,1522325848868,1522325848959
1522325848959,1522325849097,1522325849097,1522325849188
1522325849188,1522325849326,1522325849326,1522325849417
1522325849417,1522325849554,1522325849554,1522325849645
1522325849645,1522325849780,1522325849780,1522325849871
1522325849871,1522325850007,1522325850007,1522325850098
1522325850098,1522325850237,1522325850237,1522325850329
1522325850329,1522325850463,1522325850463,1522325850554
1522325850554,1522325850688,1522325850688,1522325850780
1522325850780,1522325850919,1522325850919,1522325851010
1522325851010,1522325851148,1522325851148,1522325851239
1522325851239,1522325851379,1522325851379,1522325851470
1522325851470,1522325851603,1522325851603,1522325851694
1522325851694,1522325851828,1522325851828,1522325851919
1522325851919,1522325852056,1522325852056,1522325852147
1522325852147,1522325852286,1522325852286,1522325852377
1522325852377,1522325852514,1522325852514,1522325852606
1522325852606,1522325852744,1522325852744,1522325852835
1522325852835,1522325852975,1522325852975,1522325853066
1522325853066,1522325853204,1522325853204,1522325853295
1522325853296,1522325853434,1522325853434,1522325853525
1522325853525,1522325853666,1522325853666,1522325853757
1522325853757,1522325853893,1522325853893,1522325853984
1522325853984,1522325854123,1522325854123,1522325854215
1522325854215,1522325854353,1522325854353,1522325854444
1522325854444,1522325854581,1522325854581,1522325854672
1522325854672,1522325854810,1522325854810,1522325854901
1522325854901,1522325855040,1522325855040,1522325855131
1522325855131,1522325855269,1522325855269,1522325855362
1522325855362,1522325855500,1522325855500,1522325855600
1522325855600,1522325855740,1522325855741,1522325855832
1522325855832,1522325855971,1522325855971,1522325856063
1522325856063,1522325856199,1522325856199,1522325856290
1522325856290,1522325856428,1522325856428,1522325856519
1522325856519,1522325856655,1522325856655,1522325856747
1522325856747,1522325856883,1522325856883,1522325857001
1522325857001,1522325857139,1522325857139,1522325857344
1522325857344,1522325857482,1522325857482,1522325857615
1522325857615,1522325857752,1522325857752,1522325857922
1522325857922,1522325858063,1522325858063,1522325858154
1522325858154,1522325858292,1522325858292,1522325858383
1522325858383,1522325858520,1522325858520,1522325858611
1522325858611,1522325858749,1522325858749,1522325858840
1522325858840,1522325858977,1522325858977,1522325859068
1522325859068,1522325859209,1522325859209,1522325859300
1522325859300,1522325859438,1522325859438,1522325859561
1522325859561,1522325859697,1522325859697,1522325859971
1522325859971,1522325860111,1522325860111,1522325860278
1522325860278,1522325860417,1522325860417,1522325860585
1522325860585,1522325860721,1522325860721,1522325860893
1522325860893,1522325861031,1522325861031,1522325861200
1522325861200,1522325861338,1522325861338,1522325861507
1522325861507,1522325861645,1522325861645,1522325861815
1522325861815,1522325861952,1522325861952,1522325862121
1522325862121,1522325862260,1522325862260,1522325862428
1522325862428,1522325862563,1522325862563,1522325862654
1522325862654,1522325862793,1522325862793,1522325862940
1522325862940,1522325863077,1522325863077,1522325863247
1522325863248,1522325863386,1522325863386,1522325863555
1522325863555,1522325863693,1522325863693,1522325863862
1522325863862,1522325864003,1522325864003,1522325864169
1522325864169,1522325864308,1522325864308,1522325864476
1522325864476,1522325864613,1522325864613,1522325864783
1522325864784,1522325864923,1522325864923,1522325865091
1522325865091,1522325865230,1522325865230,1522325865398
1522325865398,1522325865535,1522325865535,1522325865705
1522325865705,1522325865843,1522325865843,1522325866013
1522325866014,1522325866151,1522325866151,1522325866332
1522325866332,1522325866471,1522325866471,1522325866627
1522325866627,1522325866767,1522325866767,1522325866935
1522325866935,1522325867072,1522325867072,1522325867241
1522325867241,1522325867380,1522325867380,1522325867548
1522325867548,1522325867687,1522325867687,1522325867856
1522325867856,1522325867994,1522325867994,1522325868085
1522325868085,1522325868223,1522325868223,1522325868314
1522325868314,1522325868452,1522325868452,1522325868543
1522325868543,1522325868682,1522325868682,1522325868881
1522325868881,1522325869018,1522325869018,1522325869109
1522325869109,1522325869247,1522325869247,1522325869392
1522325869392,1522325869530,1522325869530,1522325869699
1522325869699,1522325869836,1522325869836,1522325870006
1522325870006,1522325870145,1522325870145,1522325870313
1522325870313,1522325870452,1522325870452,1522325870637
1522325870638,1522325870776,1522325870776,1522325870927
1522325870927,1522325871067,1522325871067,1522325871236
1522325871236,1522325871374,1522325871374,1522325871542
1522325871542,1522325871685,1522325871685,1522325871849
1522325871849,1522325871988,1522325871988,1522325872156
1522325872156,1522325872295,1522325872295,1522325872465
1522325872465,1522325872604,1522325872604,1522325872773
1522325872774,1522325872911,1522325872911,1522325873078
1522325873078,1522325873217,1522325873217,1522325873389
1522325873389,1522325873524,1522325873525,1522325873692
1522325873692,1522325873829,1522325873829,1522325873999
1522325873999,1522325874139,1522325874139,1522325874307
1522325874307,1522325874446,1522325874446,1522325874614
1522325874614,1522325874751,1522325874751,1522325874921
1522325874921,1522325875057,1522325875057,1522325875236
1522325875236,1522325875376,1522325875376,1522325875538
1522325875538,1522325875678,1522325875678,1522325875843
1522325875844,1522325875982,1522325875982,1522325876150
1522325876150,1522325876289,1522325876289,1522325876458
1522325876458,1522325876597,1522325876597,1522325876772
1522325876772,1522325876916,1522325876916,1522325877072
1522325877072,1522325877211,1522325877211,1522325877383
1522325877383,1522325877524,1522325877524,1522325877686
1522325877686,1522325877827,1522325877827,1522325877993
1522325877993,1522325878131,1522325878131,1522325878302
1522325878302,1522325878440,1522325878440,1522325878531
1522325878531,1522325878670,1522325878670,1522325878760
1522325878760,1522325878899,1522325878899,1522325878990
1522325878990,1522325879130,1522325879130,1522325879324
